City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Quatre Cocos,MU,71.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
1,Lagoa,PT,70.7,overcast clouds,39.05,-27.9833,Casa Das Faias
2,Cabo San Lucas,MX,92.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
3,Mogadishu,SO,76.68,broken clouds,2.0371,45.3438,Hotel Juba
4,Atuona,PF,76.98,few clouds,-9.8,-139.0333,Villa Enata
5,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
6,Arlit,NE,93.13,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
7,Butaritari,KI,82.35,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Saint George,US,85.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
10,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
11,Rikitea,PF,74.82,clear sky,-23.1203,-134.9692,People ThankYou
12,Waycross,US,75.45,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
13,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
14,Teacapan,MX,82.71,overcast clouds,22.55,-105.75,Hotel los Mangos
15,Springdale,US,81.68,clear sky,36.1867,-94.1288,Springdale Inn
16,Charleston,US,70.02,overcast clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
17,Bengkulu,ID,74.73,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
18,Kalianget,ID,81.25,broken clouds,-7.05,113.9333,Pesanggrahan Garam
19,Ewa Beach,US,77.85,light rain,21.3156,-158.0072,Base Lodging
20,Sassandra,CI,74.08,overcast clouds,4.95,-6.0833,la terrasse
21,Kingsland,US,75.2,few clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
22,Faanui,PF,78.71,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Harper,LR,75.97,overcast clouds,4.375,-7.7169,Screensaver
