City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Quatre Cocos,MU,-20.2078,57.7625,71.1,71,38,13.58,scattered clouds
1,Lagoa,PT,39.05,-27.9833,70.7,88,100,6.69,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,51.1,77,0,12.66,clear sky
3,Bethel,US,41.3712,-73.414,53.85,59,100,5.01,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,46.51,66,0,10.36,clear sky
5,Coquimbo,CL,-29.9533,-71.3436,55.42,88,24,4.76,few clouds
6,Castro,BR,-24.7911,-50.0119,61.21,86,60,3.78,broken clouds
7,Mataura,NZ,-46.1927,168.8643,47.48,89,72,9.93,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,62.19,97,7,1.99,clear sky
9,Cabo San Lucas,MX,22.8909,-109.9124,92.61,61,84,6.8,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,6.91,overcast clouds
11,Mogadishu,SO,2.0371,45.3438,76.68,81,83,16.64,broken clouds
12,Atuona,PF,-9.8,-139.0333,76.98,75,22,17.07,few clouds
13,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,28,8.75,scattered clouds
14,Cayenne,GF,4.9333,-52.3333,82.44,78,0,3.44,clear sky
15,Jamestown,US,42.097,-79.2353,52.52,83,20,4.61,few clouds
16,Abalak,RU,58.1286,68.5944,38.05,56,100,10.42,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,34.95,97,100,20.54,snow
18,Cape Town,ZA,-33.9258,18.4232,60.89,83,40,5.75,scattered clouds
19,Arlit,NE,18.7369,7.3853,93.13,11,0,13.53,clear sky
20,Butaritari,KI,3.0707,172.7902,82.35,75,66,16.51,light rain
21,Saint George,US,37.1041,-113.5841,85.95,37,0,3.0,clear sky
22,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,24,3.8,few clouds
23,Albany,US,42.6001,-73.9662,52.21,65,100,8.5,overcast clouds
24,Barrow,US,71.2906,-156.7887,26.62,80,75,13.8,broken clouds
25,Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
26,Rikitea,PF,-23.1203,-134.9692,74.82,63,8,3.83,clear sky
27,Hermon,US,44.8101,-68.9134,48.38,66,20,6.91,few clouds
28,Waycross,US,31.2136,-82.354,75.45,64,0,4.61,clear sky
29,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,94,100,21.03,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,57.49,82,5,11.45,clear sky
31,Hilo,US,19.7297,-155.09,88.29,77,0,4.0,clear sky
32,Pangody,RU,65.85,74.4859,33.57,74,100,14.07,overcast clouds
33,Nadvoitsy,RU,63.8667,34.3167,37.49,89,3,2.3,clear sky
34,Timmins,CA,48.4669,-81.3331,42.93,59,86,3.09,overcast clouds
35,Teacapan,MX,22.55,-105.75,82.71,69,100,7.09,overcast clouds
